file_source,message_id,date,sender,text,score
result-3.json,11,2019-12-09T21:27:17,Qatar🇶🇦,"https://www.opensooq.com/en
معروف ترین سایت آگهی در تمام کشورهای عربی. مناسب برای دوستانی که میخوان به قیمت خرده فروشی تقریبا هر کالا یا خدماتی در کشورهای عربی دسترسی داشته باشند.☝🏻",4
result-3.json,55,2020-03-10T21:37:52,Qatar🇶🇦,"https://qa.pricena.com/en

🇶🇦🇶🇦🇶🇦

بزرگ ترین سایت و موتور جستجوی فروشگاه های اینترنتی #قطر جهت کشف قیمت خرده فروشی در این کشور

👆

◀️ گروه ما: https://t.me/iranexportdotcom ▶️",4
result-3.json,93,2021-10-27T20:53:32,Qatar🇶🇦,"پست جدید اینستاگرام:

https://www.instagram.com/p/CViYiFeoB8g/?utm_medium=share_sheet

👆👆👆

بازارهای بازرگانی مختص کشورها و مناطق جغرافیایی برای کشف قیمت خرده و عمده فروشی کالاها در بازارهای هدف

دریافت رایگان لینک های قابل کلیک:

1️⃣ پست را لایک کنید.

2️⃣ درخواست خود را کامنت بفرمایید (👈 ایموجی مورد قبول نمیباشد و 👈 امکان نوشتن کامنت فقط برای فالورها فعال است).

3️⃣ لینک های قابل کلیک فقط در واتس اپ برای شما ارسال خواهد شد.

🇷🇺🇦🇪🇮🇳",6
result-3.json,107,2022-01-12T20:47:21,Qatar🇶🇦,"ویدئوی جدید آپارات:

https://aparat.com/v/BavwK

چگونه از طریق گوگل مپس و به رایگان اطلاعات تماس مشتریان خارجی، سلیقۀ خریداران خارجی و قیمت های بازارهای هدف صادراتی را به دست آوریم

👏

#تحقیق_بازار
#گوگل_مپس
#کشف_قیمت",4
result-3.json,110,2022-01-18T13:43:12,Qatar🇶🇦,"👇👇👇

https://www.aparat.com/v/wcxiF

👆👆👆

جهت دریافت رایگان لینک های رایگان 42 گروه فیسبوک مصالح ساختمانی و سنگ بین المللی با بیش از یک میلیون عضو

1️⃣ پست بالا را لایک کنید

2️⃣ درخواست خود را به زبان پارسی کامنت کنید

3️⃣ اکانت آپارات خود را در واتس اپ به همین شماره (09358387958) ارسال نمایید تا لینک ها به رایگان خدمت تان ارسال گردند

🏗",5
result-3.json,176,2023-08-24T12:48:30,Qatar🇶🇦,"کانال تلگرام بزرگ ترین لینکدونی
 گروه های رایگان واتس اپ و تلگرام در ایران
شامل 2000 گروه واتس اپ و تلگرام برای 
تبلیغ رایگان و نامحدود تجاری و بازرگانی
 
👇🏿

https://t.me/+VvAHwragKUPt13Ll

👆

👈🏿 اگر این لینک به شما فروخته شده است، از شما کلاه برداری و دزدی شده است.",4
result-3.json,180,2023-11-27T18:59:23,Qatar🇶🇦,"🇦🇪

https://ig.me/j/AbaQ-QUO7xVgRGVB/

👆🏿

با توجه به ثبت شرکت و اخذ اقامت دبی توسط بنده و پس از ۵ ماه استقرار در دبی از هم اکنون وقت آن را دارم که تمام پروژه های کسب درآمد ارزی که توسط دوستان در ایران قابل انجام نیست را به صورت نیابتی یا مشارکتی انجام دهم. در ضمن ایده ها و فرصت ها در کانال تازه تاسیس اینستاگرام (عمدتا به زبان انگلیسی) ارسال خواهد شد",5
result-3.json,183,2024-03-28T14:33:36,Qatar🇶🇦,"شرکت فرش آویسا کاشان که یکی از شرکت های فعال در صنعت تولید فرش ماشینی در کاشان می باشد، در سال ۱۳۹۱ تأسیس شد؛ مدیران این مجموعه که دارای سابقه طولانی در زمینه صنعت فرش ماشینی میباشند، توانسته اند با تولید انواع محصولات پشمی و ابریشمی(پلی استر فیلامنت) و اکرولیک جایگاه ویژه ای را در میان تولیدکنندگان این صنعت ایجاد نمایند.
این شرکت با ایجاد واحدی مستقل در سال ۱۳۹۲ جهت طراحی انواع نقوش سنتی و مدرن با رنگ آمیزی های بسیار متنوع توانسته انواع محصولات خود را بصورت سفارشی و خاص جهت صدور به بیش از ۳۰ کشور دنیا تولید نماید.

شماره موبایل: ۰۹۱۳۲۶۰۷۶۰۲

پیج اینستاگرام:
https://www.instagram.com/avisacarpetco",3
result-3.json,189,2024-04-27T19:42:41,Qatar🇶🇦,"تعرفۀ تبلیغات در رسانه های سعید معتمد

1️⃣
کانال اصلی تلگرام: ۵۲۰,۰۰۰ هزار تومان به مدت یک ماه
سایر کانال های تلگرام هر کدام ۱۰۰,۰۰۰ تومان به مدت یک ماه (۹ کانال در تلگرام)

2️⃣
استوری واتس اپ: ۵۰۰ هزار تومان (متوسط بازدید = ۷۰۰ )
کانال های واتس اپ هر کدام ۱۰۰,۰۰۰ هزار تومان. (۱۰ کانال در واتس اپ) تبلیغات در کانال های واتس اپ پاک نخواهند شد.

3️⃣
استوری اینستاگرام به مدت ۲۴ ساعت:  ۴۵۰ هزار تومان  (متوسط بازدید = ۱۰۰۰)
پست اینستاگرام به مدت یک هفته: ۴۵۰ هزار تومان

4️⃣
پست در پیج لینکدین به مدت ۱ ماه:
۲۰۰.۰۰۰ تومان
5️⃣
قیمت کل: ۴.۰۲۰.۰۰۰ تومان
تبلیغ در همۀ این موارد به صورت یکجا  = ۳,۹۰۰,۰۰۰ تومان

در صورت داشتن سوال به شمارۀ
09358387958
واتس دهید
سعید معتمد

شماره کارت: 6219861042842236
بانک سامان
سعید معتمد

نکات بسیار مهم:
۱. هیچ تضمینی برای اثربخش بودن تبلیغات وجود ندارد اما نحوۀ تبلیغات اثربخش به شما آموزش داده خواهد شد

۲. قبل از واریز مبلغ، متن تبلیغ را ارسال نمایید

۳. تمام اعضای رسانه های بنده ایرانی بوده و هیچ تاجر خارجی عضو رسانه های بنده نیستند.

۴. دوستانی که در رسانه های بنده تبلیغ کنند تا ۶ ماه آموزش عملیاتی (آنلاین) رایگان برای بازاریابی هدفمند کالاها و خدمات شان دریافت خواهند کرد.",10
result-3.json,193,2024-05-20T13:49:04,Qatar🇶🇦,"⛔️

تبلیغاتی که در پایین آخرین پست تمام کانال های بنده مشاهده میشود، ناشی از امکان جدیدی است که تلگرام راه اندازی کرده و کانال های دیگر میتوانند با پرداخت هزینه به تلگرام، در هر کانالی که میخواهند تبلیغ کنند.
بنابراین این تبلیغات هیچ ربطی به بنده ندارد.
👈🏿 بنده تحت هیچ عنوان شماره حساب هیچ شخص دیگری غیر از خودم را برای هرگونه آموزش، مشاوره، کارمزد جهت انجام کارها در دبی و ... اعلام نمیکنم.

سعید معتمد، همراه شما برای بین المللی شدن،
مدیر عامل شرکت مدیریت پروژۀ نورتیکس دبی

00989358387958 (مخصوص ار تباط با شماره های ایران)
00971585600884 (لطفا فقط اگر شمارۀ غیر ایرانی دارید به این شماره پیام بدید)

🤝",5
